Date (DD/MM/YYYY); Q (m3/s);  P (mm);  PET (mm)
17/07/2013; 85.138; 0; 0.97
18/07/2013; 75.497; 0; 0.545
19/07/2013; 88.46; 0; 0.826
20/07/2013; 88.832; 0; 0.725
21/07/2013; 81.51; 0; 0.386
22/07/2013; 75.497; 0; 0.708
23/07/2013; 67.674; 0; 0.682
24/07/2013; 56.78; 0; 0.887
25/07/2013; 45.015; 0; 0.604
26/07/2013; 38.256; 0; 0.925
27/07/2013; 34.426; 0; 0.456
28/07/2013; 32.454; 0; 0.855
29/07/2013; 31.007; 0; 0.705
30/07/2013; 27.74; 0; 0.569
31/07/2013; 26.165; 0; 0.95
01/08/2013; 23.982; 0; 0.81
02/08/2013; 21.266; 0; 0.97
03/08/2013; 21.881; 1.1; 0.963
04/08/2013; 55.552; 14.8; 0.991
05/08/2013; 94.115; 0.1; 0.997
06/08/2013; 82.591; 1.5; 0.977
07/08/2013; 64.386; 1.5; 1.064
08/08/2013; 51.936; 6.5; 1.094
09/08/2013; 47.561; 2.6; 1.073
10/08/2013; 108.288; 22.2; 0.708
11/08/2013; 223.601; 16.9; 1.056
12/08/2013; 310.51; 0.1; 1.033
13/08/2013; 423.323; 0.8; 0.942
14/08/2013; 471.942; 3.6; 0.839
15/08/2013; 448.569; 0.8; 1.259
16/08/2013; 407.096; 0; 1.363
17/08/2013; 346.804; 0; 1.048
18/08/2013; 285.219; 0; 0.758
19/08/2013; 232.225; 0; 0.779
20/08/2013; 172.552; 0; 0.774
21/08/2013; 143.193; 0; 1.421
22/08/2013; 123.721; 0; 1.416
23/08/2013; 136.419; 31.7; 1.152
24/08/2013; 181.106; 23.6; 1.162
25/08/2013; 351.555; 72; 1.463
26/08/2013; 571.239; 30.5; 0.835
27/08/2013; 643.123; 12.1; 0.581
28/08/2013; 665.953; 5; 1.185
29/08/2013; 620.884; 0; 1.325
30/08/2013; 567.811; 0; 1.271
31/08/2013; 515.029; 0; 1.365
01/09/2013; 434.408; 0; 1.102
02/09/2013; 346.804; 0.7; 1.254
03/09/2013; 265.351; 0.3; 1.484
04/09/2013; 189.975; 0.9; 1.347
05/09/2013; 152.907; 0; 1.494
06/09/2013; 124.15; 0; 1.596
07/09/2013; 102.676; 0; 1.507
08/09/2013; 86.607; 3.4; 1.747
09/09/2013; 72.393; 0; 1.717
10/09/2013; 57.399; 0; 1.5
11/09/2013; 45.015; 0; 1.729
12/09/2013; 37.218; 0; 1.698
13/09/2013; 34.426; 0; 1.738
14/09/2013; 32.454; 0; 1.779
15/09/2013; 30.058; 0; 1.443
16/09/2013; 56.165; 23.8; 1.398
17/09/2013; 86.607; 8.3; 1.906
18/09/2013; 76.894; 0; 1.877
19/09/2013; 58.957; 0; 1.594
20/09/2013; 56.165; 0; 1.682
21/09/2013; 132.422; 31.8; 1.65
22/09/2013; 184.027; 7.5; 1.449
23/09/2013; 232.225; 14.7; 1.523
24/09/2013; 239.302; 12.2; 1.765
25/09/2013; 233.98; 26.8; 1.577
26/09/2013; 235.744; 0; 1.814
27/09/2013; 242.901; 0; 1.945
28/09/2013; 248.374; 4.7; 1.687
29/09/2013; 228.746; 0.2; 1.775
30/09/2013; 196.066; 0; 2.005
01/10/2013; 160.01; 0.2; 2.166
02/10/2013; 138.212; 0; 1.899
03/10/2013; 118.62; 0; 1.981
04/10/2013; 103.47; 0; 1.75
05/10/2013; 91.457; 11.1; 2.105
06/10/2013; 83.678; 0; 2.535
07/10/2013; 75.149; 0; 2.476
08/10/2013; 62.447; 0; 1.994
09/10/2013; 51.639; 0; 2.335
10/10/2013; 43.351; 0; 2.271
11/10/2013; 36.193; 0; 2.57
12/10/2013; 34.426; 0; 2.409
13/10/2013; 34.426; 17.4; 2.184
14/10/2013; 36.448; 0; 2.398
15/10/2013; 34.927; 0; 2.31
16/10/2013; 32.698; 0; 2.301
17/10/2013; 29.354; 0.2; 2.155
18/10/2013; 25.282; 0; 2.412
19/10/2013; 23.982; 0; 1.818
20/10/2013; 22.502; 0; 1.925
21/10/2013; 25.501; 13.4; 2.209
22/10/2013; 57.399; 19.8; 2.031
23/10/2013; 75.497; 3.2; 2.299
24/10/2013; 162.89; 41.4; 2.198
25/10/2013; 193.003; 0.1; 2.525
26/10/2013; 191.484; 0.4; 2.557
27/10/2013; 184.027; 24.6; 2.476
28/10/2013; 181.106; 0; 2.435
29/10/2013; 167.25; 0; 2.557
30/10/2013; 159.533; 0; 2.396
31/10/2013; 146.862; 0; 2.966
01/11/2013; 131.101; 0; 3.098
02/11/2013; 112.373; 0; 2.873
03/11/2013; 94.88; 0.7; 2.674
04/11/2013; 80.077; 0.8; 3.317
05/11/2013; 67.011; 0; 2.868
06/11/2013; 53.43; 0; 3.296
07/11/2013; 42.802; 0; 2.939
08/11/2013; 34.676; 0; 2.956
09/11/2013; 28.197; 0; 3.491
10/11/2013; 23.768; 0.2; 3.425
11/11/2013; 94.497; 105.5; 3.311
12/11/2013; 239.302; 32.1; 3.389
13/11/2013; 299.776; 0; 3.448
14/11/2013; 314.884; 0; 3.404
15/11/2013; 279.146; 0; 3.346
16/11/2013; 242.901; 23.7; 3.428
17/11/2013; 208.686; 0; 3.209
18/11/2013; 161.928; 0; 2.757
19/11/2013; 134.637; 0; 3.303
20/11/2013; 116.522; 4.9; 3.426
21/11/2013; 108.288; 12.2; 3.336
22/11/2013; 121.159; 3.5; 3.479
23/11/2013; 130.224; 0; 3.417
24/11/2013; 124.15; 0; 3.5
25/11/2013; 109.507; 0; 3.407
26/11/2013; 114.44; 0; 3.516
27/11/2013; 97.579; 0; 3.661
28/11/2013; 78.656; 1; 3.434
29/11/2013; 62.768; 0; 3.696
30/11/2013; 51.343; 0; 3.688
01/12/2013; 40.102; 0; 3.432
02/12/2013; 37.218; 5.3; 3.527
03/12/2013; 33.434; 4.4; 3.764
04/12/2013; 30.058; 32; 3.648
05/12/2013; 82.953; 31.4; 4.003
06/12/2013; 143.649; 0.1; 4.037
07/12/2013; 120.734; 0; 3.892
08/12/2013; 96.033; 0; 3.764
09/12/2013; 73.765; 0; 3.848
10/12/2013; 80.792; 1.6; 3.93
11/12/2013; 116.94; 1.3; 3.761
12/12/2013; 116.522; 0; 3.848
13/12/2013; 96.419; 0; 3.58
14/12/2013; 80.792; 0.3; 3.95
15/12/2013; 57.399; 0; 3.825
16/12/2013; 45.295; 0; 3.788
17/12/2013; 35.179; 0; 3.948
18/12/2013; 30.058; 0; 4.025
19/12/2013; 26.835; 0; 3.973
20/12/2013; 24.197; 0; 3.564
21/12/2013; 21.675; 0; 3.83
22/12/2013; 20.059; 0; 3.58
23/12/2013; 21.881; 0; 3.53
24/12/2013; 20.059; 0; 3.756
25/12/2013; 18.115; 0; 3.959
26/12/2013; 18.115; 0; 3.649
27/12/2013; 19.663; 0; 4.014
28/12/2013; 21.063; 0; 3.527
29/12/2013; 21.063; 0; 3.714
30/12/2013; 20.86; 0; 3.791
31/12/2013; 22.294; 0.2; 3.467
01/01/2014; 26.611; 3.6; 4.082
02/01/2014; 25.722; 0.1; 4.111
03/01/2014; 27.74; 4; 3.855
04/01/2014; 42.529; 9.2; 3.806
05/01/2014; 36.961; 0; 3.862
06/01/2014; 29.121; 0; 4.066
07/01/2014; 25.943; 0; 4.025
08/01/2014; 24.197; 0; 3.86
09/01/2014; 19.076; 0; 3.722
10/01/2014; 25.063; 14.6; 3.504
11/01/2014; 36.961; 10.3; 4.107
12/01/2014; 53.731; 9.1; 3.779
13/01/2014; 66.021; 0.2; 3.94
14/01/2014; 75.845; 1.3; 3.587
15/01/2014; 79.365; 8.3; 3.812
16/01/2014; 73.078; 3.5; 4.058
17/01/2014; 56.165; 0; 3.98
18/01/2014; 37.736; 0; 4.151
19/01/2014; 26.387; 0; 3.757
20/01/2014; 23.768; 0; 4.191
21/01/2014; 21.47; 0; 3.712
22/01/2014; 18.689; 0; 3.819
23/01/2014; 18.882; 0; 4.035
24/01/2014; 19.271; 0; 3.811
25/01/2014; 22.294; 5.7; 3.658
26/01/2014; 24.412; 2; 3.742
27/01/2014; 25.722; 1.6; 3.748
28/01/2014; 27.286; 0; 4.075
29/01/2014; 25.722; 2.6; 3.495
30/01/2014; 22.502; 0; 3.503
31/01/2014; 27.06; 0.7; 3.234
01/02/2014; 66.351; 2; 3.875
02/02/2014; 67.011; 6.2; 3.434
03/02/2014; 53.43; 0; 3.587
04/02/2014; 45.857; 0.2; 3.534
05/02/2014; 38.78; 0; 3.292
06/02/2014; 27.968; 0; 3.218
07/02/2014; 23.343; 0; 3.471
08/02/2014; 22.294; 0; 3.228
09/02/2014; 21.881; 6.5; 2.933
10/02/2014; 22.921; 0; 3.405
11/02/2014; 20.86; 22.9; 2.749
12/02/2014; 20.059; 0; 3.261
13/02/2014; 46.423; 2.1; 3.155
14/02/2014; 84.407; 42; 3.155
15/02/2014; 103.47; 2.4; 3.171
16/02/2014; 93.733; 0; 3.066
17/02/2014; 75.497; 0; 2.941
18/02/2014; 61.806; 0; 2.665
19/02/2014; 51.936; 0; 3.499
20/02/2014; 47.276; 0; 3.328
21/02/2014; 43.903; 0.6; 3.079
22/02/2014; 42.256; 0; 2.958
23/02/2014; 37.477; 3.1; 3.299
24/02/2014; 54.335; 3.7; 3.417
25/02/2014; 69.008; 0; 3.001
26/02/2014; 75.149; 22.7; 3.458
27/02/2014; 88.832; 29.6; 3.007
28/02/2014; 120.734; 3.7; 2.974
01/03/2014; 123.721; 0.3; 2.835
02/03/2014; 117.779; 0; 2.734
03/03/2014; 101.096; 0; 2.663
04/03/2014; 109.1; 14.6; 2.769
05/03/2014; 121.159; 2.6; 2.669
06/03/2014; 111.551; 0.4; 2.533
07/03/2014; 88.46; 0; 2.234
08/03/2014; 73.078; 0; 2.864
09/03/2014; 56.78; 26; 2.685
10/03/2014; 49.001; 0; 3.004
11/03/2014; 40.636; 15.1; 2.936
12/03/2014; 32.942; 0; 2.72
13/03/2014; 29.588; 0; 2.957
14/03/2014; 28.197; 0; 2.882
15/03/2014; 26.835; 1.3; 2.323
16/03/2014; 25.722; 0; 2.876
17/03/2014; 26.611; 20.6; 2.641
18/03/2014; 35.684; 15.9; 3.211
19/03/2014; 43.351; 9; 2.979
20/03/2014; 46.14; 2.6; 2.714
21/03/2014; 43.903; 0.1; 2.525
22/03/2014; 39.043; 2.7; 2.822
23/03/2014; 36.193; 0; 2.748
24/03/2014; 33.929; 0; 2.78
25/03/2014; 31.486; 0; 2.979
26/03/2014; 27.74; 0; 2.783
27/03/2014; 26.387; 0; 2.545
28/03/2014; 25.063; 0; 2.51
29/03/2014; 23.343; 0; 2.297
30/03/2014; 21.47; 0; 2.653
31/03/2014; 25.501; 15.2; 2.782
01/04/2014; 41.713; 11.9; 2.353
02/04/2014; 73.421; 2.8; 2.277
03/04/2014; 78.656; 0; 2.173
04/04/2014; 74.802; 0; 1.922
05/04/2014; 65.693; 0; 2.376
06/04/2014; 53.13; 0; 1.911
07/04/2014; 41.173; 0; 2.152
08/04/2014; 35.938; 0; 2.024
09/04/2014; 39.836; 12.4; 2.087
10/04/2014; 39.571; 0; 1.892
11/04/2014; 37.218; 0; 1.776
12/04/2014; 73.765; 53.8; 2.253
13/04/2014; 74.456; 0; 1.989
14/04/2014; 62.447; 0; 2.319
15/04/2014; 47.848; 0; 2.112
16/04/2014; 40.102; 0; 1.772
17/04/2014; 34.927; 0; 1.602
18/04/2014; 36.193; 0.2; 1.831
19/04/2014; 36.961; 1.6; 1.875
20/04/2014; 36.448; 0.8; 1.826
21/04/2014; 36.961; 0; 1.836
22/04/2014; 36.448; 0; 1.693
23/04/2014; 34.426; 0; 1.955
24/04/2014; 32.454; 0; 1.814
25/04/2014; 29.354; 0; 1.785
26/04/2014; 27.513; 0; 1.814
27/04/2014; 25.501; 0; 1.717
28/04/2014; 23.768; 0; 1.88
29/04/2014; 22.921; 0; 1.84
30/04/2014; 22.502; 0; 1.512
01/05/2014; 22.502; 1.4; 1.853
02/05/2014; 22.502; 0; 1.218
03/05/2014; 22.921; 0; 1.718
04/05/2014; 25.063; 19.7; 1.402
05/05/2014; 31.007; 6.6; 1.427
06/05/2014; 28.889; 0.1; 1.173
07/05/2014; 25.501; 0.7; 1.139
08/05/2014; 23.555; 0; 1.096
09/05/2014; 22.921; 8.4; 1.291
10/05/2014; 22.711; 3.9; 1.312
11/05/2014; 23.343; 0; 0.93
12/05/2014; 22.087; 0; 1.168
13/05/2014; 21.675; 0.7; 1.371
14/05/2014; 21.266; 0; 1.195
15/05/2014; 19.271; 0.1; 1.546
16/05/2014; 34.426; 8.1; 1.307
17/05/2014; 51.343; 0; 1.228
18/05/2014; 38.78; 0.1; 1.333
19/05/2014; 31.486; 0; 1.24
20/05/2014; 26.165; 0; 1.356
21/05/2014; 22.502; 0; 1.37
22/05/2014; 32.942; 12.4; 1.438
23/05/2014; 38.518; 2.1; 1.251
24/05/2014; 39.836; 0; 1.423
25/05/2014; 39.043; 0; 1.001
26/05/2014; 34.426; 0; 0.997
27/05/2014; 36.448; 0; 1.114
28/05/2014; 38.518; 0; 1.011
29/05/2014; 33.929; 0; 1.029
30/05/2014; 30.294; 0; 1.103
31/05/2014; 30.531; 6.7; 1.207
01/06/2014; 45.295; 15.7; 0.861
02/06/2014; 58.02; 0.9; 0.674
03/06/2014; 53.731; 0.1; 0.635
04/06/2014; 44.458; 0; 0.956
05/06/2014; 59.9; 22; 0.7
06/06/2014; 126.738; 10.6; 0.82
07/06/2014; 140.015; 1.2; 0.813
08/06/2014; 140.919; 0; 0.716
09/06/2014; 141.373; 0.1; 0.523
10/06/2014; 136.419; 0.2; 0.664
11/06/2014; 127.171; 0.2; 0.469
12/06/2014; 110.322; 0; 0.643
13/06/2014; 98.356; 0; 0.905
14/06/2014; 159.533; 67.6; 0.491
15/06/2014; 215.22; 1.5; 0.783
16/06/2014; 246.54; 0; 0.841
17/06/2014; 253.94; 1; 0.316
18/06/2014; 242.901; 0.2; 0.459
19/06/2014; 221.906; 0; 0.746
20/06/2014; 193.003; 0; 0.575
21/06/2014; 163.372; 0.1; 0.574
22/06/2014; 145.022; 0; 0.627
23/06/2014; 126.738; 2; 0.828
24/06/2014; 114.855; 2.5; 0.778
25/06/2014; 122.437; 23.6; 0.669
26/06/2014; 135.082; 1.6; 0.456
27/06/2014; 151.036; 1.8; 0.87
28/06/2014; 164.338; 20.1; 0.708
29/06/2014; 193.003; 31.3; 0.426
30/06/2014; 200.73; 24.3; 0.881
01/07/2014; 211.934; 3.7; 0.671
02/07/2014; 228.746; 0; 1.028
03/07/2014; 255.816; 5.9; 0.748
04/07/2014; 293.471; 95.5; 0.535
05/07/2014; 310.51; 7.4; 0.853
06/07/2014; 310.51; 0; 0.684
07/07/2014; 297.663; 2.1; 0.797
08/07/2014; 263.423; 0; 0.678
09/07/2014; 218.544; 0.1; 0.824
10/07/2014; 166.277; 0; 0.583
11/07/2014; 146.401; 0; 0.884
12/07/2014; 124.15; 0; 0.739
13/07/2014; 105.466; 0; 0.588
14/07/2014; 95.648; 0; 0.791
15/07/2014; 79.721; 0; 0.739
16/07/2014; 65.693; 0; 0.665
17/07/2014; 51.343; 0; 0.537
18/07/2014; 74.456; 33.7; 0.75
19/07/2014; 116.522; 2.1; 1.184
20/07/2014; 134.637; 0.1; 0.499
21/07/2014; 135.527; 0; 0.659
22/07/2014; 125.01; 0; 0.483
23/07/2014; 116.94; 17.2; 0.899
24/07/2014; 144.564; 61.4; 0.897
25/07/2014; 173.956; 23.4; 0.987
26/07/2014; 199.166; 0; 1.193
27/07/2014; 203.884; 0; 0.735
28/07/2014; 202.302; 0; 0.482
29/07/2014; 186.984; 0; 1.354
30/07/2014; 165.306; 0; 0.393
31/07/2014; 148.247; 0.9; 0.998
01/08/2014; 131.101; 0; 1.027
02/08/2014; 122.437; 19; 0.987
03/08/2014; 116.94; 0.2; 1.116
04/08/2014; 107.479; 8; 0.877
05/08/2014; 103.073; 5.5; 1.248
06/08/2014; 88.832; 0; 1.071
07/08/2014; 75.149; 0; 1.137
08/08/2014; 63.737; 4.5; 0.986
09/08/2014; 52.83; 0; 0.794
10/08/2014; 46.991; 2.5; 0.868
11/08/2014; 44.458; 27.7; 1.371
12/08/2014; 43.903; 0.8; 1.067
13/08/2014; 49.583; 0; 1.26
14/08/2014; 49.292; 0; 0.796
15/08/2014; 43.626; 0; 1.214
16/08/2014; 41.173; 0.5; 1.023
17/08/2014; 37.218; 1; 1.214
18/08/2014; 34.676; 0; 0.76
19/08/2014; 33.188; 0.2; 1.065
20/08/2014; 31.486; 0; 1.254
21/08/2014; 30.294; 0; 1.029
22/08/2014; 27.968; 0; 1.375
23/08/2014; 26.387; 0; 0.748
24/08/2014; 24.628; 0; 0.776
25/08/2014; 23.982; 0; 1.141
26/08/2014; 24.628; 20.6; 0.921
27/08/2014; 23.132; 0; 0.948
28/08/2014; 22.502; 0; 1.015
29/08/2014; 22.294; 0; 0.858
30/08/2014; 22.711; 0; 1.402
31/08/2014; 66.68; 38.6; 0.968
01/09/2014; 106.269; 0; 1.323
02/09/2014; 95.264; 0; 1.113
03/09/2014; 99.527; 27.6; 1.074
04/09/2014; 94.115; 0; 1.366
05/09/2014; 77.949; 0; 1.254
06/09/2014; 73.765; 0; 1.455
07/09/2014; 73.765; 14.1; 1.641
08/09/2014; 71.031; 0; 1.648
09/09/2014; 58.02; 0; 1.559
10/09/2014; 51.048; 0; 1.446
11/09/2014; 116.104; 36.8; 1.476
12/09/2014; 221.906; 19.7; 1.469
13/09/2014; 301.901; 8.3; 1.327
14/09/2014; 332.84; 0; 1.642
15/09/2014; 368.567; 16.6; 1.639
16/09/2014; 386.19; 1; 1.463
17/09/2014; 351.555; 0; 1.531
18/09/2014; 304.036; 0; 1.696
19/09/2014; 250.219; 0; 1.648
20/09/2014; 191.484; 0.4; 2.124
21/09/2014; 148.247; 0; 1.605
22/09/2014; 125.01; 0.6; 1.548
23/09/2014; 107.479; 0; 1.886
24/09/2014; 89.953; 0.9; 1.528
25/09/2014; 74.456; 0; 1.233
26/09/2014; 79.365; 21.3; 1.658
27/09/2014; 88.832; 0; 1.771
28/09/2014; 77.245; 0; 1.809
29/09/2014; 70.354; 6.8; 1.497
30/09/2014; 69.68; 0.1; 1.682
01/10/2014; 70.354; 7.2; 1.795
02/10/2014; 69.008; 0; 2.281
03/10/2014; 66.351; 0; 1.881
04/10/2014; 56.78; 0; 1.975
05/10/2014; 49.001; 0; 2.01
06/10/2014; 40.636; 0.1; 2.378
07/10/2014; 35.431; 0; 2.216
08/10/2014; 33.681; 0; 2.403
09/10/2014; 31.727; 0; 2.342
10/10/2014; 29.588; 0; 2.199
11/10/2014; 28.427; 2.2; 2.358
12/10/2014; 48.423; 10.9; 1.906
13/10/2014; 72.051; 0.1; 2.294
14/10/2014; 103.47; 12.8; 2.524
15/10/2014; 114.855; 0; 2.138
16/10/2014; 101.885; 13.1; 2.326
17/10/2014; 123.292; 80.3; 2.277
18/10/2014; 185.501; 15.3; 2.077
19/10/2014; 242.901; 29; 2.337
20/10/2014; 297.663; 3.6; 2.539
21/10/2014; 337.447; 0; 2.528
22/10/2014; 351.555; 0; 2.445
23/10/2014; 317.087; 0; 2.401
24/10/2014; 257.702; 0.1; 2.07
25/10/2014; 186.984; 0; 2.391
26/10/2014; 155.732; 0; 1.976
27/10/2014; 122.011; 0; 2.635
28/10/2014; 101.49; 0; 2.327
29/10/2014; 81.51; 0; 2.549
30/10/2014; 63.737; 9.4; 2.514
31/10/2014; 50.754; 1.2; 3.044
01/11/2014; 40.369; 0; 2.954
02/11/2014; 36.704; 4.2; 2.638
03/11/2014; 35.938; 15.8; 2.996
04/11/2014; 51.639; 13.5; 2.824
05/11/2014; 76.544; 0.8; 2.706
06/11/2014; 73.765; 0; 2.813
07/11/2014; 72.735; 7.5; 3.059
08/11/2014; 87.346; 3.3; 3.031
09/11/2014; 84.772; 0; 3.235
10/11/2014; 74.11; 0; 3.202
11/11/2014; 66.351; 0; 3.09
12/11/2014; 59.9; 0; 3.302
13/11/2014; 64.386; 0; 3.664
14/11/2014; 71.031; 0; 3.232
15/11/2014; 67.342; 0; 2.902
16/11/2014; 56.165; 0; 3.875
17/11/2014; 44.18; 0; 3.268
18/11/2014; 37.477; 0; 2.994
19/11/2014; 32.454; 0; 3.07
20/11/2014; 30.058; 0; 3.204
21/11/2014; 33.929; 0; 3.142
22/11/2014; 42.529; 0; 2.921
23/11/2014; 39.306; 0; 3.158
24/11/2014; 32.211; 0; 3.215
25/11/2014; 41.443; 0; 3.448
26/11/2014; 46.14; 0; 3.301
27/11/2014; 37.477; 0; 3.199
28/11/2014; 28.658; 0; 3.495
29/11/2014; 22.087; 0; 3.707
30/11/2014; 21.47; 0; 3.407
01/12/2014; 20.659; 0; 3.161
02/12/2014; 22.087; 0; 3.531
03/12/2014; 37.996; 0; 3.757
04/12/2014; 35.431; 0; 3.534
05/12/2014; 28.658; 0; 3.67
06/12/2014; 26.165; 0; 3.603
07/12/2014; 22.921; 0; 3.646
08/12/2014; 20.86; 0; 3.484
09/12/2014; 23.343; 0; 3.454
10/12/2014; 23.343; 0; 3.934
11/12/2014; 34.927; 0; 4.268
12/12/2014; 37.996; 0; 3.438
13/12/2014; 54.942; 0; 3.727
14/12/2014; 65.038; 0; 3.761
15/12/2014; 51.936; 0; 3.827
16/12/2014; 40.636; 0; 3.789
17/12/2014; 33.434; 0; 3.775
18/12/2014; 27.74; 0; 3.641
19/12/2014; 25.501; 0; 3.834
20/12/2014; 27.74; 0; 3.413
21/12/2014; 63.413; 0; 3.931
22/12/2014; 138.212; 0; 4.141
23/12/2014; 142.281; 0; 4.037
24/12/2014; 124.15; 0; 3.539
25/12/2014; 96.419; 0; 3.46
26/12/2014; 74.11; 0; 3.792
27/12/2014; 64.061; 0; 4.03
28/12/2014; 60.216; 0; 3.595
29/12/2014; 56.165; 0; 3.53
30/12/2014; 48.712; 0; 4.267
31/12/2014; 39.306; 0; 3.883
01/01/2015; 35.185; 4.9; 3.699
02/01/2015; 58.478; 17.8; 3.8
03/01/2015; 83.316; 0; 3.927
04/01/2015; 70.978; 0; 3.843
05/01/2015; 57.325; 0; 3.769
06/01/2015; 45.506; 0; 3.972
07/01/2015; 38.979; 0; 3.657
08/01/2015; 46.233; 18.4; 4.105
09/01/2015; 76.54; 22; 3.898
10/01/2015; 122.326; 10; 3.804
11/01/2015; 116.539; 0; 4.079
12/01/2015; 93.306; 0; 3.742
13/01/2015; 68.966; 0; 3.917
14/01/2015; 61.19; 26.7; 3.699
15/01/2015; 76.723; 15.4; 3.628
16/01/2015; 89.834; 0.1; 3.87
17/01/2015; 82.354; 0.1; 3.836
18/01/2015; 71.859; 5.1; 3.949
19/01/2015; 63.015; 0; 4.221
20/01/2015; 56.305; 0; 4.055
21/01/2015; 71.506; 26.1; 3.906
22/01/2015; 93.72; 0; 4.012
23/01/2015; 84.674; 0; 3.864
24/01/2015; 65.908; 0; 3.742
25/01/2015; 53.522; 0; 3.617
26/01/2015; 41.561; 0; 3.519
27/01/2015; 34.618; 0; 4.047
28/01/2015; 34.618; 0; 3.488
29/01/2015; 51.894; 7.2; 3.612
30/01/2015; 88.227; 6.6; 3.776
31/01/2015; 87.43; 0; 3.417
01/02/2015; 69.501; 3.9; 3.474
02/02/2015; 57.709; 0; 3.597
03/02/2015; 51.271; 0; 3.472
04/02/2015; 45.144; 0; 3.581
05/02/2015; 39.68; 0; 3.536
06/02/2015; 34.392; 11.6; 3.252
07/02/2015; 31.156; 0.8; 3.249
08/02/2015; 27.891; 0; 2.898
09/02/2015; 26.081; 0; 3.384
10/02/2015; 28.214; 0.8; 3.339
11/02/2015; 29.621; 11.2; 3.292
12/02/2015; 30.058; 12.7; 3.082
13/02/2015; 30.386; 0; 3.312
14/02/2015; 30.496; 0; 3.576
15/02/2015; 30.386; 0; 3.089
16/02/2015; 30.825; 0; 3.202
17/02/2015; 32.041; 0; 2.79
18/02/2015; 33.491; 0.4; 3.042
19/02/2015; 37.589; 0; 3.531
20/02/2015; 43.822; 2.4; 3.058
21/02/2015; 52.769; 0.7; 2.984
22/02/2015; 58.992; 0.2; 3.168
23/02/2015; 55.669; 0; 2.746
24/02/2015; 48.797; 19.7; 3.028
25/02/2015; 42.985; 0.2; 2.971
26/02/2015; 38.979; 21.4; 3.396
27/02/2015; 49.413; 4.3; 2.946
28/02/2015; 55.542; 4.7; 2.732
01/03/2015; 48.184; 0; 3.096
02/03/2015; 34.618; 0; 3.01
03/03/2015; 30.386; 0; 2.748
04/03/2015; 29.512; 0; 2.798
05/03/2015; 37.589; 30.3; 2.812
06/03/2015; 35.868; 2.1; 2.544
07/03/2015; 30.715; 0; 2.712
08/03/2015; 24.613; 0; 2.765
09/03/2015; 21.236; 0; 2.773
10/03/2015; 28.645; 0.7; 2.821
11/03/2015; 99.2; 5.3; 2.565
12/03/2015; 133.787; 0; 2.875
13/03/2015; 139.735; 0; 2.903
14/03/2015; 140.338; 0; 2.965
15/03/2015; 136.445; 0; 2.846
16/03/2015; 127.126; 0; 2.93
17/03/2015; 108.675; 0; 3.249
18/03/2015; 88.426; 0; 2.869
19/03/2015; 71.682; 0; 2.728
20/03/2015; 58.478; 0; 2.792
21/03/2015; 46.111; 0; 2.839
22/03/2015; 44.422; 0; 2.514
23/03/2015; 42.39; 0.1; 2.143
24/03/2015; 35.982; 0; 2.78
25/03/2015; 32.263; 0; 2.985
26/03/2015; 29.295; 2.4; 2.369
27/03/2015; 27.999; 0.4; 2.69
28/03/2015; 29.512; 0; 2.528
29/03/2015; 28.645; 0; 2.512
30/03/2015; 29.839; 11.5; 2.5
31/03/2015; 34.618; 0.1; 2.521
01/04/2015; 35.754; 1.3; 2.675
02/04/2015; 31.819; 0; 2.048
03/04/2015; 27.784; 0; 2.255
04/04/2015; 25.449; 0; 2.125
05/04/2015; 25.24; 0.3; 2.079
06/04/2015; 34.279; 11.6; 2.152
07/04/2015; 46.84; 0.1; 2.024
08/04/2015; 46.597; 0; 2.333
09/04/2015; 38.747; 0; 2.199
10/04/2015; 33.379; 0; 2.066
11/04/2015; 29.948; 0; 2.046
12/04/2015; 27.677; 0; 1.61
13/04/2015; 26.081; 9; 1.843
14/04/2015; 24.094; 0; 2.042
15/04/2015; 24.405; 0.9; 2.276
16/04/2015; 29.73; 3.5; 1.411
17/04/2015; 28.214; 0; 2.056
18/04/2015; 30.386; 21.7; 1.91
19/04/2015; 29.621; 0; 1.799
20/04/2015; 44.181; 9.5; 1.634
21/04/2015; 105.979; 8.4; 2.083
22/04/2015; 116.811; 0; 1.972
23/04/2015; 102.446; 0.2; 1.737
24/04/2015; 83.703; 2.6; 1.897
25/04/2015; 70.709; 0.1; 1.839
26/04/2015; 60.153; 0; 1.275
27/04/2015; 51.146; 0; 1.746
28/04/2015; 42.628; 0; 1.97
29/04/2015; 36.668; 0; 1.672
30/04/2015; 33.379; 3.3; 1.624
01/05/2015; 31.93; 0; 1.773
02/05/2015; 30.167; 0; 1.841
03/05/2015; 30.058; 2.1; 1.458
04/05/2015; 29.839; 4.4; 1.919
05/05/2015; 31.597; 0.2; 1.707
06/05/2015; 29.948; 0; 0.968
07/05/2015; 26.61; 0; 1.454
08/05/2015; 24.717; 0; 1.425
09/05/2015; 24.926; 0; 1.314
10/05/2015; 25.03; 1.8; 1.414
11/05/2015; 27.999; 10.4; 1.275
12/05/2015; 42.271; 10.4; 1.073
13/05/2015; 63.669; 0; 1.398
14/05/2015; 57.069; 0; 1.632
15/05/2015; 53.145; 0; 1.225
16/05/2015; 50.526; 0; 1.302
17/05/2015; 48.674; 0; 1.256
18/05/2015; 47.084; 0.2; 0.792
19/05/2015; 43.105; 0; 1.109
20/05/2015; 38.051; 0; 1.35
